timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592442641209,3165,Launch-1592442641164,200,OK,Login_newTours 1-1,text,true,,15826,126,1,1,http://www.newtours.demoaut.com/,1903,0,1030
1592442644402,12051,Login-1592442644401,200,OK,Login_newTours 1-1,text,true,,15043,594,1,1,http://newtours.demoaut.com/mercuryreservation.php?osCsid=89d712809555db7f09d17b3129f3aa6b,11440,0,10822
1592442656455,1225,Login-1592442656454,200,OK,Login_newTours 1-1,text,true,,15043,512,1,1,http://www.newtours.demoaut.com/mercuryreservation.php?osCsid=89d712809555db7f09d17b3129f3aa6b,957,0,611
1592442657733,848,FlightDetails-1592442657732,200,OK,FlightBooking 1-1,text,true,,20042,803,9,9,http://www.newtours.demoaut.com/mercuryreservation2.php,602,0,268
1592442657819,825,FlightDetails-1592442657817,200,OK,FlightBooking 1-2,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,580,0,232
1592442657913,801,FlightDetails-1592442657912,200,OK,FlightBooking 1-3,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,562,0,234
1592442658015,805,FlightDetails-1592442658014,200,OK,FlightBooking 1-4,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,566,0,232
1592442658111,804,FlightDetails-1592442658110,200,OK,FlightBooking 1-5,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,567,0,239
1592442658210,828,FlightDetails-1592442658209,200,OK,FlightBooking 1-6,text,true,,20043,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,583,0,248
1592442658308,817,FlightDetails-1592442658306,200,OK,FlightBooking 1-7,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,585,0,247
1592442658408,1021,FlightDetails-1592442658407,200,OK,FlightBooking 1-8,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,758,0,247
1592442658607,944,FlightDetails-1592442658606,200,OK,FlightBooking 1-10,text,true,,20035,803,10,10,http://www.newtours.demoaut.com/mercuryreservation2.php,618,0,265
